product_name,category,quantity,unit,related_keywords
پودر کیک شکلاتی,مواد غذایی,500,گرم,کیک-کیک درست کنم-شکلاتی
آرد سفید,مواد غذایی,2,پیمانه,کیک-کیک درست کنم-پیتزا-پیتزا درست کنم-شام-ناهار
شکر,مواد غذایی,1,پیمانه,کیک-کیک درست کنم-دسر-صبحونه-اسموتی
تخم‌مرغ,مواد غذایی,3,عدد,کیک-کیک درست کنم-پیتزا-پیتزا درست کنم-صبحونه
روغن مایع,مواد غذایی,0.5,پیمانه,کیک-کیک درست کنم-پیتزا-پیتزا درست کنم-شام-ناهار
خمیر پیتزا تازه,مواد غذایی,300,گرم,پیتزا-پیتزا درست کنم
پنیر موزارلا,لبنیات,150,گرم,پیتزا-پیتزا درست کنم
سس گوجه خانگی,مواد غذایی,3,قاشق غذاخوری,پیتزا-پیتزا درست کنم-ناهار
مربا توت‌فرنگی,صبحانه,2,قاشق غذاخوری,صبحونه-صبحانه
نون تازه,نان,200,گرم,صبحونه-صبحانه
کره,لبنیات,20,گرم,صبحونه-صبحانه-اسموتی
پنیر سفید,لبنیات,50,گرم,صبحونه-صبحانه
خیار,سبزیجات,2,عدد,صبحونه-صبحانه-ناهار
مرغ,گوشت,300,گرم,شام-شام درست کنم
سیب‌زمینی,سبزیجات,2,عدد,شام-شام درست کنم
ادویه کاری,ادویه,1,قاشق چای‌خوری,شام-شام درست کنم-ناهار
عدس,حبوبات,1,پیمانه,شام-شام درست کنم
برنج,مواد غذایی,2,پیمانه,شام-شام درست کنم-ناهار-مهمونی
پیاز,سبزیجات,1,عدد,شام-شام درست کنم-ناهار
ژله توت‌فرنگی,دسر,1,بسته,دسر-دسر درست کنم
توت‌فرنگی تازه,میوه,100,گرم,دسر-دسر درست کنم-اسموتی
پودر کاکائو,مواد غذایی,2,قاشق غذاخوری,دسر-دسر درست کنم
شیر,لبنیات,1,لیتر,دسر-دسر درست کنم-اسموتی-بچه‌م گشنشه
آجیل مخلوط,تنقلات,200,گرم,مهمونی-مهمون دارم-یه چیز خاص
چیپس سیب‌زمینی,تنقلات,300,گرم,مهمونی-مهمون دارم
نوشابه,نوشیدنی,2,لیتر,مهمونی-مهمون دارم-خنک-یه چیز خنک
گوشت قرمز,گوشت,500,گرم,مهمونی-مهمون دارم-ناهار
زعفران,ادویه,1,گرم,مهمونی-مهمون دارم
بیسکویت شور,تنقلات,100,گرم,میان‌وعده-میان‌وعده سریع
پنیر خامه‌ای,لبنیات,50,گرم,میان‌وعده-میان‌وعده سریع
کیک یزدی,تنقلات,2,عدد,میان‌وعده-میان‌وعده سریع
چای کیسه‌ای,نوشیدنی,2,عدد,میان‌وعده-میان‌وعده سریع
آبمیوه طبیعی,نوشیدنی,1,لیتر,خنک-یه چیز خنک
یخ,مواد غذایی,5,تکه,خنک-یه چیز خنک
بستنی وانیلی,دسر,200,گرم,خنک-یه چیز خنک
سس شکلات,مواد غذایی,2,قاشق غذاخوری,خنک-دسر-دسر درست کنم
سبزی قورمه,سبزیجات,200,گرم,ناهار-ناهار درست کنم
لوبیا قرمز,حبوبات,1,پیمانه,ناهار-ناهار درست کنم
نون همبرگر,نان,2,عدد,ناهار-ناهار درست کنم
گوشت چرخ‌کرده,گوشت,200,گرم,ناهار-ناهار درست کنم
خیارشور,ترشی,50,گرم,ناهار-ناهار درست کنم
موز,میوه,2,عدد,اسموتی-اسموتی درست کنم
کره بادام‌زمینی,تنقلات,2,قاشق غذاخوری,اسموتی-اسموتی درست کنم
بیسکویت شکلاتی,تنقلات,100,گرم,بچه‌م گشنشه
شیر کاکائو,نوشیدنی,250,میلی‌لیتر,بچه‌م گشنشه
نون تست,نان,4,تکه,بچه‌م گشنشه
پنیر ورقه‌ای,لبنیات,2,ورق,بچه‌م گشنشه
گوجه,سبزیجات,1,عدد,بچه‌م گشنشه-ناهار
شکلات دست‌ساز,تنقلات,100,گرم,یه چیز خاص
آجیل بو‌داده,تنقلات,150,گرم,یه چیز خاص
شمع معطر,لوازم,1,عدد,یه چیز خاص
جعبه کادو,لوازم,1,عدد,یه چیز خاص
قهوه فوری,نوشیدنی انرژی‌زا,10,گرم,بی‌حال-خستم-بی‌حالم
هایپ,نوشیدنی انرژی‌زا,250,میلی‌لیتر,بی‌حال-خستم-بی‌حالم
آب معدنی,نوشیدنی,1.5,لیتر,تشنمه-بی‌حال-بی‌حالم
نوار بهداشتی,بهداشت شخصی,1,بسته,پریود-قاعدگی
شکلات تلخ,تنقلات,50,گرم,پریود-قاعدگی
مایع ظرفشویی,نظافت,500,میلی‌لیتر,تمیز-تمیز کردن-خونه
دستمال کاغذی,نظافت,1,بسته,تمیز-تمیز کردن-خونه
